GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG 
9280	00209709	Paucatuck Eastern Pequot Reservation	30	16	924356	59004	0.357	0.023	41.445532	-71.937776
9300	00979384	Poospatuck Reservation	324	124	291825	148132	0.113	0.057	40.788722	-72.832492 
9350	00210687	Schaghticoke Reservation	9	4	1122120	0	0.433	0.000	41.692509	-73.509126 
9370	00979494	Shinnecock Reservation	662	256	3494294	0	1.349	0.000	40.873761	-72.430970 
9400	02419487	Tama Reservation	9	8	365137	2118	0.141	0.001	30.862259	-84.265009 
9510	02418753	Adais Caddo SDTSA	2517	1268	378853299	4765818	146.276	1.840	31.756760	-93.281447
9515	02418775	Apache Choctaw SDTSA	6000	3441	221732322	2632993	85.611	1.017	31.631875	-93.656995 
9525	02564992	Beaver Creek SDTSA	1153	545	64936554	265588	25.072	0.103	33.528189	-81.296971
9550	02418812	Cher-O-Creek SDTSA	83668	37538	834624196	2892864	322.250	1.117	31.166448	-85.283267 
9560	02418811	Cherokee Tribe of Northeast Alabama SDTSA	12732	5557	87991417	379309	33.974	0.146	34.218723	-86.333309 
9580	02418815	Chickahominy SDTSA	3443	1484	134292965	64589	51.851	0.025	37.400993	-77.133801 
9630	02418840	Clifton Choctaw SDTSA	415	204	126420819	274301	48.811	0.106	31.318254	-92.864613 
9635	02418841	Coharie SDTSA	56432	24782	625707000	7892913	241.587	3.047	35.207911	-78.640567
9675	02418562	Eastern Chickahominy SDTSA	179	74	5781365	0	2.232	0.000	37.436323	-76.973239
9680	02418564	Echota Cherokee SDTSA	53622	22181	1318464917	7827585	509.062	3.022	34.458884	-87.226896 
9720	02418587	Four Winds Cherokee SDTSA	30286	13389	566911387	5173306	218.886	1.997	31.124631	-93.325024
9745	02418608	Haliwa-Saponi SDTSA	8102	3655	458499770	1187705	177.028	0.459	36.254685	-77.970833
9800	02575194	Lenape Indian Tribe of Delaware SDTSA	545	255	5823850	0	2.249	0.000	39.206736	-75.593479
9815	02418691	Lumbee SDTSA	490899	206298	4706425812	22035837	1817.161	8.508	34.791732	-79.162279 
9820	02418693	MaChis Lower Creek SDTSA	21818	10059	1730644014	6668836	668.205	2.575	31.332758	-86.004161
9825	02418704	Meherrin SDTSA	7956	3738	84493401	1159698	32.623	0.448	36.336859	-76.948837
9830	02418723	Nanticoke Indian Tribe SDTSA	7059	3771	71723310	223649	27.693	0.086	38.654750	-75.213642 
9835	02418724	Nanticoke Lenni Lenape SDTSA	5652	2157	49620133	642883	19.158	0.248	39.406155	-75.186273 
9838	02564991	Occaneechi-Saponi SDTSA	8615	3652	242454082	4347506	93.612	1.679	36.177418	-79.253301
9844	02564993	Pee Dee SDTSA	2915	715	132023708	1831757	50.975	0.707	34.720354	-79.660480 
9850	02419194	Ramapough SDTSA	847	263	18526333	260905	7.153	0.101	41.144116	-74.275724
9865	02418630	Sappony SDTSA	2372	1119	111355727	10556257	42.995	4.076	36.488060	-78.865471 
9875	02564994	Santee SDTSA	492	218	19886663	0	7.678	0.000	33.352216	-80.386828
9880	02419231	Star Muskogee Creek SDTSA	5377	2628	291728954	810206	112.637	0.313	31.718372	-85.977287 
9950	02575195	United Cherokee Ani-Yun-Wiya Nation SDTSA	5869	2840	21835453	2152751	8.431	0.831	34.306812	-86.309841 
9960	02419278	United Houma Nation SDTSA	203077	80955	1507399665	64463811	582.010	24.890	29.599958	-90.726653 
9963	02564995	Upper South Carolina Pee Dee SDTSA	1325	536	101986187	90857	39.377	0.035	34.528075	-79.422884
9967	02564996	Waccamaw SDTSA	24	11	3318591	10884	1.281	0.004	33.974805	-79.197939 
9970	02419280	Waccamaw Siouan SDTSA	2113	889	117471530	84841	45.356	0.033	34.396731	-78.552317 
9975	02584541	Wassamasaw SDTSA	2011	906	22897612	0	8.841	0.000	33.070123	-80.100736 
