GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                         
3930	00861680	South Fork Reservation and Off-Reservation Trust Land	122	58	68780051	10727	      26.556	       0.004	 40.570932	-115.596958                                                              
3935	01934326	Spirit Lake Reservation	4238	1418	1009145829	25326523	     389.633	       9.779	 47.905531	 -98.868294                                                                                    
3940	01511576	Spokane Reservation and Off-Reservation Trust Land	2096	779	616665036	31968397	     238.096	      12.343	 47.929100	-118.048128                                                           
3955	01508671	Squaxin Island Reservation and Off-Reservation Trust Land	431	153	8670687	79413	       3.348	       0.031	 47.196761	-122.912011                                                          
3970	01934335	Standing Rock Reservation	8217	2858	9242214082	243966187	    3568.439	      94.196	 45.827427	-101.143395                                                                                 
3980	02419480	Stewart Community	147	55	11447758	6001	       4.420	       0.002	 39.061769	-119.810093                                                                                                   
3985	00235473	Stewarts Point Rancheria	78	20	174216	0	       0.067	       0.000	 38.656578	-123.338968                                                                                                  
4000	02419481	Stillaguamish Reservation and Off-Reservation Trust Land	4	1	901877	0	       0.348	       0.000	 48.213225	-122.220408                                                                    
4015	01577203	Stockbridge Munsee Community	644	273	61733864	95807	      23.836	       0.037	 44.906764	 -88.870613                                                                                      
4030	00267889	Sulphur Bank Rancheria	61	13	193612	23477	       0.075	       0.009	 39.008578	-122.670854                                                                                                
4045	00858261	Summit Lake Reservation and Off-Reservation Trust Land	1	8	49256830	1837377	      19.018	       0.709	 41.520893	-119.052640                                                              
4060	00235836	Susanville Indian Rancheria and Off-Reservation Trust Land	549	223	4329548	0	       1.672	       0.000	 40.443288	-120.645813                                                             
4075	01528418	Swinomish Reservation and Off-Reservation Trust Land	3010	1556	30838322	23603229	      11.907	       9.113	 48.415394	-122.536396                                                         
4090	00273630	Sycuan Reservation	211	76	3313298	0	       1.279	       0.000	 32.782043	-116.832665                                                                                                      
4095	01665550	Table Bluff Reservation	103	34	305521	0	       0.118	       0.000	 40.690650	-124.252180                                                                                                  
4110	02419484	Table Mountain Rancheria	64	22	551202	0	       0.213	       0.000	 36.984891	-119.635956                                                                                                  
4130	02419488	Tampa Reservation	0	0	179695	1837	       0.069	       0.001	 27.994128	 -82.370365                                                                                                        
4140	01934342	Taos Pueblo and Off-Reservation Trust Land	4384	2513	404393525	154308	     156.137	       0.060	 36.472691	-105.525026                                                                    
4170	00937203	Tesuque Pueblo and Off-Reservation Trust Land	841	344	69750758	0	      26.931	       0.000	 35.802766	-105.973696                                                                         
4180	02419492	Timbi-Sha Shoshone Reservation and Off-Reservation Trust Land	24	18	33116197	0	      12.786	       0.000	 37.445637	-117.524741                                                           
4200	00023763	Tohono O'odham Nation Reservation and Off-Reservation Trust Land	10201	3677	11534488785	883041	    4453.491	       0.341	 32.150036	-112.070402                                           
4225	00979554	Tonawanda Reservation	517	217	30561278	180035	      11.800	       0.070	 43.074127	 -78.452884                                                                                            
4235	00032748	Tonto Apache Reservation	120	42	344696	0	       0.133	       0.000	 34.221123	-111.328400                                                                                                 
4255	00255924	Torres-Martinez Reservation	5594	1313	88619087	38962137	      34.216	      15.043	 33.346255	-116.020180                                                                                  
4275	00268407	Trinidad Rancheria and Off-Reservation Trust Land	132	44	344359	0	       0.133	       0.000	 41.052403	-124.130280                                                                        
4290	01511575	Tulalip Reservation and Off-Reservation Trust Land	10631	4368	89994374	45245930	      34.747	      17.470	 48.076662	-122.261468                                                          
4300	00275158	Tule River Reservation and Off-Reservation Trust Land	1049	287	218323407	0	      84.295	       0.000	 36.031068	-118.715166                                                               
4315	02419503	Tunica-Biloxi Reservation and Off-Reservation Trust Land	121	57	3149783	0	       1.216	       0.000	 31.108163	 -92.061740                                                                
4330	00236635	Tuolumne Rancheria	185	66	1539780	0	       0.595	       0.000	 37.980781	-120.237944                                                                                                      
4345	01934334	Turtle Mountain Reservation and Off-Reservation Trust Land	8669	2975	589187527	25758348	     227.487	       9.945	 48.818420	 -99.805819                                                  
4360	00979564	Tuscarora Nation Reservation	1152	473	23524712	0	       9.083	       0.000	 43.162883	 -78.950865                                                                                         
